#{"t_start": 1622266079.9737096, "env_id": "BZ-Tetris2-v0"}
r,l,t
1108.0,320,16.853964
660.0,245,27.658344
498.0,208,42.446667
232.0,153,49.298868
164.0,152,55.762278
254.0,200,64.9033
362.0,225,83.367428
394.0,198,99.063744
268.0,165,106.411752
340.0,142,112.483955
426.0,265,124.119361
660.0,270,141.010895
462.0,222,163.704731
710.0,292,177.075552
678.0,240,194.477207
268.0,158,201.292689
466.0,193,209.68557
718.0,270,238.085424
34.0,106,243.084242
498.0,200,252.58372
610.0,250,264.291302
1260.0,344,286.011422
879.0,278,298.966769
466.0,211,315.850486
864.0,276,335.39925
520.0,222,345.491559
164.0,183,354.003112
466.0,239,373.611486
570.0,236,393.095243
552.0,272,405.527598
674.0,228,423.43639
236.0,152,432.204948
452.0,182,441.756238
340.0,164,452.162057
803.0,254,476.55869
426.0,230,486.946237
272.0,196,495.236623
652.0,258,506.87445
412.0,268,526.18981
128.0,140,533.393602
660.0,210,562.243412
146.0,146,569.895507
692.0,260,588.701389
796.0,256,600.225014
394.0,180,608.670499
304.0,213,639.018382
910.0,362,673.599167
164.0,130,683.235006
660.0,272,704.506934
200.0,156,711.451633
304.0,147,718.52556
670.0,272,730.427842
426.0,200,756.86673
448.0,214,769.547582
796.0,295,787.921198
390.0,190,808.455835
756.0,260,820.463536
552.0,232,838.26778
877.0,300,860.222114
304.0,161,870.238076
656.0,245,885.402041
800.0,250,899.820257
300.0,188,922.185784
340.0,168,937.214809
272.0,246,948.813228
318.0,190,957.13705
232.0,172,973.133244
520.0,202,987.276558
348.0,186,1000.071509
660.0,240,1014.846317
541.0,300,1069.788392
950.0,300,1084.098571
380.0,220,1099.433109
628.0,226,1109.600928
304.0,202,1120.198309
196.0,182,1141.379926
1710.0,384,1174.877658
782.0,285,1188.262455
264.0,178,1195.786508
376.0,282,1213.566576
750.0,274,1233.673725
624.0,278,1263.545626
70.0,134,1271.628222
462.0,215,1283.76738
412.0,220,1296.146164
1177.0,300,1321.819472
182.0,186,1330.522408
578.0,258,1342.63716
200.0,141,1352.53154
92.0,150,1385.225239
354.0,220,1399.760064
628.0,245,1424.251143
340.0,201,1433.684725
542.0,255,1450.695678
136.0,185,1459.378366
196.0,185,1470.085499
752.0,252,1502.333883
182.0,188,1528.328151
832.0,272,1544.165852
1177.0,338,1565.252189
326.0,190,1573.985611
692.0,234,1584.900931
674.0,250,1622.6391
340.0,157,1632.176969
520.0,220,1642.718709
488.0,230,1653.082279
412.0,204,1668.295262
528.0,240,1678.614743
746.0,332,1701.984807
570.0,268,1738.179704
570.0,184,1750.656963
760.0,292,1769.247292
498.0,224,1787.041359
528.0,290,1810.543068
390.0,174,1822.289898
1186.0,308,1861.591484
114.0,160,1871.65013
228.0,184,1881.927683
172.0,154,1891.162308
196.0,162,1900.138315
646.0,230,1922.999343
552.0,272,1934.833422
534.0,260,1946.334669
728.0,226,1966.683158
1023.0,305,1984.322372
268.0,168,2007.556442
268.0,158,2027.873745
286.0,170,2035.870371
128.0,137,2041.988816
236.0,156,2048.982781
232.0,172,2057.045791
819.0,324,2094.401903
358.0,200,2106.301148
398.0,222,2122.174474
200.0,170,2152.18558
128.0,160,2160.150986
633.0,262,2172.417158
92.0,175,2180.511281
570.0,226,2203.814005
578.0,260,2215.764621
552.0,245,2230.631814
218.0,165,2259.352106
797.0,285,2276.653227
236.0,141,2284.247051
448.0,222,2303.765853
340.0,161,2316.484339
696.0,248,2327.896152
1014.0,300,2345.329619
656.0,275,2377.20129
538.0,278,2401.452826
556.0,220,2411.65857
516.0,255,2428.517183
390.0,226,2438.473674
304.0,141,2444.689322
430.0,206,2455.540409
633.0,280,2499.484152
905.0,314,2520.03046
534.0,211,2529.744461
250.0,182,2544.049623
-2.0,104,2548.609752
254.0,205,2557.851074
28.0,166,2582.10963
796.0,240,2617.618747
128.0,128,2626.966126
298.0,202,2640.01248
88.0,155,2648.255485
556.0,235,2668.991725
660.0,220,2686.863293
696.0,248,2697.303053
304.0,190,2705.567265
466.0,194,2721.385974
438.0,214,2735.3374
986.0,286,2752.116833
932.0,262,2783.096408
1105.0,360,2799.45161
512.0,260,2811.235971
746.0,275,2832.399207
268.0,180,2843.164972
466.0,210,2866.321927
268.0,185,2885.723323
254.0,185,2894.661974
218.0,210,2904.658759
502.0,213,2914.509349
394.0,192,2928.541964
570.0,252,2952.352588
466.0,182,2965.201914
502.0,261,3001.959009
570.0,243,3018.592489
587.0,314,3035.157435
304.0,172,3042.929377
530.0,213,3066.503429
394.0,226,3078.58977
340.0,182,3088.976521
330.0,212,3119.403933
714.0,224,3133.175871
416.0,204,3144.990806
841.0,294,3168.032827
340.0,194,3181.903445
996.0,310,3195.814348
402.0,213,3205.7327
764.0,302,3234.109585
434.0,177,3255.780942
728.0,275,3269.150931
236.0,177,3283.510911
823.0,282,3296.697695
924.0,336,3316.823823
1056.0,358,3375.757311
746.0,274,3393.66336
728.0,258,3414.402151
624.0,278,3427.081702
484.0,232,3443.725079
322.0,210,3460.67853
448.0,230,3474.896824
398.0,200,3486.783361
128.0,130,3495.052751
286.0,232,3523.497738
528.0,240,3545.11509
502.0,203,3554.341444
204.0,210,3563.735006
416.0,221,3582.140322
660.0,241,3597.396166
822.0,244,3612.965352
304.0,184,3649.912726
304.0,172,3657.885865
1400.0,310,3672.661348
656.0,260,3689.998363
74.0,158,3697.339944
556.0,260,3709.910599
588.0,236,3736.83975
530.0,228,3763.667616
300.0,198,3778.268244
506.0,255,3792.700708
502.0,223,3808.611194
1323.0,306,3832.173248
660.0,278,3846.334848
498.0,222,3875.484794
859.0,240,3891.284408
218.0,182,3901.902629
430.0,200,3910.933529
570.0,238,3934.563401
394.0,182,3942.69544
466.0,204,3952.277731
290.0,173,3961.051934
502.0,216,3987.794423
344.0,212,4001.622121
430.0,205,4022.666638
444.0,230,4039.031077
470.0,220,4048.969129
204.0,179,4057.092258
552.0,266,4070.96365
823.0,244,4104.385549
1095.0,266,4133.539462
860.0,330,4164.526059
50.0,156,4171.520627
56.0,166,4178.830199
587.0,238,4189.365999
470.0,250,4215.017601
484.0,250,4229.159422
742.0,260,4244.90054
1032.0,298,4274.115076
196.0,160,4281.175426
312.0,246,4301.261638
398.0,216,4311.195221
380.0,232,4329.775727
430.0,250,4345.935946
394.0,234,4359.666919
692.0,264,4387.450863
304.0,226,4405.482541
724.0,260,4416.738274
394.0,198,4433.250436
754.0,318,4452.511365
786.0,270,4470.946816
946.0,320,4521.719689
1137.0,338,4537.689476
624.0,242,4554.489011
570.0,254,4567.29817
362.0,182,4576.943677
380.0,178,4601.584723
304.0,198,4631.460293
841.0,255,4644.192251
502.0,217,4654.0502
1060.0,330,4674.386694
154.0,168,4691.379189
551.0,264,4704.76927
394.0,216,4727.371202
218.0,166,4737.819608
290.0,169,4746.47213
502.0,219,4756.334308
752.0,131,4762.44368
593.0,224,4785.253718
218.0,186,4795.070467
466.0,228,4810.411661
556.0,238,4845.494227
498.0,221,4860.044064
484.0,218,4873.487198
682.0,254,4894.399923
128.0,135,4906.230068
434.0,250,4916.992164
466.0,210,4926.727158
276.0,166,4935.039986
787.0,246,4968.290846
38.0,176,4991.659557
294.0,192,5001.375613
566.0,235,5017.941329
855.0,318,5032.500716
452.0,209,5041.996192
340.0,161,5049.838234
787.0,265,5090.933493
462.0,220,5104.331557
462.0,190,5115.124825
304.0,203,5133.147526
304.0,204,5142.457999
570.0,220,5152.122432
552.0,248,5175.434577
512.0,264,5212.815348
488.0,200,5225.60826
416.0,206,5239.941835
154.0,226,5265.799564
426.0,237,5285.241337
466.0,230,5295.921049
669.0,266,5328.639971
488.0,220,5343.538541
791.0,270,5360.598911
556.0,198,5372.588216
340.0,169,5404.760164
718.0,310,5418.663533
1045.0,274,5430.71177
200.0,146,5442.402637
268.0,154,5449.586276
466.0,190,5459.433307
286.0,220,5486.491795
660.0,260,5519.978581
340.0,146,5526.662213
390.0,210,5535.84427
530.0,242,5551.692228
660.0,287,5580.963579
322.0,216,5594.266085
787.0,250,5610.934558
304.0,133,5634.705558
462.0,203,5648.280023
290.0,156,5655.73818
268.0,179,5664.242651
358.0,200,5686.426493
222.0,144,5692.748735
218.0,159,5700.388507
728.0,272,5714.085343
164.0,142,5738.469838
664.0,252,5754.849271
832.0,265,5779.434883
394.0,230,5795.304579
364.0,174,5803.208251
488.0,184,5811.636332
394.0,220,5821.55438
732.0,235,5846.692342
232.0,154,5855.872943
268.0,147,5878.811472
466.0,247,5891.36644
660.0,284,5910.141949
1078.0,310,5923.418741
678.0,268,5935.149953
627.0,235,5965.887201
20.0,134,5975.180632
538.0,254,5992.194523
683.0,224,6025.415925
498.0,232,6038.665794
516.0,230,6050.557264
783.0,270,6073.074543
366.0,222,6093.429455
462.0,248,6109.492444
578.0,254,6126.152236
362.0,185,6151.705831
78.0,154,6166.483721
466.0,228,6176.612934
864.0,220,6186.314161
344.0,230,6201.609411
1114.0,318,6216.331356
737.0,255,6231.500623
498.0,225,6274.499108
390.0,222,6285.137943
470.0,260,6296.649002
887.0,278,6315.084987
498.0,222,6326.367873
304.0,180,6351.634507
466.0,221,6383.817447
498.0,244,6399.488843
809.0,276,6415.599072
696.0,276,6437.595927
664.0,200,6454.28162
232.0,171,6461.656365
782.0,238,6472.998568
452.0,268,6504.972116
860.0,235,6518.969534
236.0,163,6529.750282
878.0,268,6560.47452
534.0,210,6569.678259
466.0,210,6579.19673
714.0,240,6591.104727
1068.0,320,6625.658071
200.0,179,6637.378877
949.0,298,6668.635632
1310.0,302,6682.243609
304.0,195,6691.196664
1568.0,266,6710.725641
502.0,215,6722.528362
646.0,258,6756.815645
534.0,208,6770.821571
610.0,258,6807.478949
380.0,202,6818.977925
755.0,260,6830.759122
746.0,278,6855.092072
236.0,160,6863.492983
394.0,220,6876.533404
538.0,234,6908.393059
1370.0,242,6924.007593
330.0,215,6937.939741
430.0,216,6955.316852
358.0,215,6970.401986
506.0,216,6979.677194
1275.0,278,6992.65151
574.0,234,7020.814386
430.0,200,7044.794522
900.0,282,7060.762842
628.0,248,7078.174009
538.0,208,7087.774212
1185.0,332,7103.204623
855.0,318,7155.669333
606.0,202,7170.10368
430.0,185,7182.427549
873.0,265,7214.509926
534.0,232,7225.047595
186.0,162,7232.254079
358.0,176,7247.212862
394.0,205,7264.010658
598.0,260,7278.171465
186.0,188,7289.276802
484.0,230,7303.216594
624.0,240,7336.874498
777.0,232,7355.104585
1031.0,250,7366.10707
344.0,190,7382.130964
692.0,270,7396.851063
470.0,210,7409.9536
326.0,206,7422.702389
787.0,305,7463.117831
398.0,240,7474.326656
660.0,234,7490.79148
358.0,204,7500.075531
520.0,232,7512.083735
236.0,141,7533.41328
498.0,223,7568.151574
254.0,205,7583.299927
268.0,163,7592.938605
182.0,175,7605.005887
534.0,230,7623.124591
390.0,170,7630.88723
196.0,138,7645.629493
774.0,274,7659.269211
520.0,228,7688.50762
398.0,207,7701.959453
204.0,206,7714.40137
448.0,230,7728.370309
724.0,222,7751.956941
528.0,216,7761.367327
268.0,206,7770.765013
318.0,232,7796.378007
380.0,230,7809.324247
380.0,182,7821.286899
254.0,157,7841.90107
